Force,Distance,Time,Event,
N,mm,min,,
Sample 1,,,,
-0.0000,0.0050,1.07567,0,
-0.0000,0.0050,1.07583,0,
-0.0000,0.0050,1.07600,0,
-0.0000,0.0050,1.07617,0,
-0.0000,0.0050,1.07633,0,
-0.0000,0.0050,1.07650,0,
-0.0000,0.0050,1.07667,0,
-0.0000,0.0050,1.07683,0,
-0.1589,0.0050,1.07700,0,
-0.1589,0.0050,1.07717,0,
-0.0000,0.0050,1.07733,0,
-0.0000,0.0050,1.07750,0,
-0.0000,0.0050,1.07767,0,
-0.0000,0.0050,1.07783,0,
-0.0000,0.0050,1.07800,0,
-0.0000,0.0050,1.07817,0,
-0.0000,0.0050,1.07833,0,
-0.0000,0.0050,1.07850,0,
